antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'marital=married'})	0.10366946097188737	0.5920240649399482	0.07686182566189644	0.7414124173245146	1.2523349323641422	0.015487009967186362	1.5777089171835499
frozenset({'default=no', 'marital=married'})	frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.5920240649399482	0.10366946097188737	0.07686182566189644	0.12982888739445567	1.2523349323641424	0.015487009967186362	1.0300623935265323
frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'housing=no'})	0.11052619937625799	0.44416181902634316	0.06137886797460795	0.555333199919952	1.2502947712554628	0.012287350209580924	1.2500105266990833
frozenset({'marital=married', 'education=secondary', 'housing=no'})	frozenset({'age=(45.0, 95.0]'})	0.11809073013204752	0.3195682466656345	0.06137886797460795	0.5197602547293501	1.6264452433948398	0.02364082039884491	1.4168584754493672
frozenset({'education=secondary', 'age=(45.0, 95.0]', 'housing=no'})	frozenset({'marital=married'})	0.07991418017739046	0.6019331578598128	0.06137886797460795	0.7680597841129254	1.275988494875045	0.013275873142653244	1.7162476141437892
frozenset({'marital=married', 'age=(45.0, 95.0]'})	frozenset({'education=secondary', 'housing=no'})	0.2398531330870806	0.2026940346375882	0.06137886797460795	0.2559018812246403	1.2625032684468804	0.01276206870872118	1.0715064925505011
frozenset({'marital=married', 'housing=no'})	frozenset({'age=(45.0, 95.0]', 'education=secondary'})	0.2630554511070315	0.14799495697949613	0.06137886797460795	0.2333305305641974	1.5766113611325554	0.022447987804800874	1.1113068629790361
frozenset({'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'housing=no'})	0.14799495697949613	0.2630554511070315	0.06137886797460795	0.41473621282319534	1.5766113611325556	0.022447987804800874	1.2591664904603808
frozenset({'education=secondary', 'housing=no'})	frozenset({'marital=married', 'age=(45.0, 95.0]'})	0.2026940346375882	0.2398531330870806	0.06137886797460795	0.3028153644696639	1.2625032684468807	0.01276206870872118	1.0903092641086232
frozenset({'marital=married'})	frozenset({'education=secondary', 'age=(45.0, 95.0]', 'housing=no'})	0.6019331578598128	0.07991418017739046	0.06137886797460795	0.10196957448372161	1.2759884948750448	0.013275873142653244	1.0245597406052822
frozenset({'age=(45.0, 95.0]'})	frozenset({'marital=married', 'education=secondary', 'housing=no'})	0.3195682466656345	0.11809073013204752	0.06137886797460795	0.19206810631229235	1.6264452433948395	0.02364082039884491	1.0915638765571984
frozenset({'housing=no'})	frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	0.44416181902634316	0.11052619937625799	0.06137886797460795	0.13819032916687415	1.2502947712554628	0.012287350209580924	1.0321000456677085
frozenset({'default=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'marital=married'})	0.07845435845258897	0.6019331578598128	0.0604277720023888	0.770228361996053	1.2795911837364429	0.013203492271156227	1.7324455080628762
frozenset({'default=no', 'marital=married', 'housing=no', 'education=secondary'})	frozenset({'age=(45.0, 95.0]'})	0.11565769392404503	0.3195682466656345	0.0604277720023888	0.5224708357238478	1.6349272531776633	0.023467245541691127	1.4249009363978364
frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'housing=no'})	0.11052619937625799	0.4357567848532437	0.0604277720023888	0.5467280368220933	1.2546632796692379	0.012265230720142031	1.244822669354676
frozenset({'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'marital=married'})	0.07991418017739046	0.5920240649399482	0.0604277720023888	0.7561583171879325	1.277242534498379	0.013116654207426671	1.6731181082542192
frozenset({'default=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'housing=no'})	0.14553980226051183	0.2630554511070315	0.0604277720023888	0.41519756838905775	1.578365195025451	0.0221427336647217	1.2601598575144835
frozenset({'default=no', 'marital=married', 'age=(45.0, 95.0]'})	frozenset({'housing=no', 'education=secondary'})	0.2364911194178408	0.2026940346375882	0.0604277720023888	0.2555181444070333	1.2606100858562181	0.012492432851626975	1.0709541936752396
frozenset({'marital=married', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'age=(45.0, 95.0]'})	0.11809073013204752	0.31454734467275663	0.0604277720023888	0.5117063120434538	1.6268021991278103	0.023282646408886165	1.4037712799356166
frozenset({'default=no', 'housing=no', 'education=secondary'})	frozenset({'marital=married', 'age=(45.0, 95.0]'})	0.1979606732874743	0.2398531330870806	0.0604277720023888	0.3052513966480447	1.2726596176553622	0.012946284286360153	1.094132270645003
frozenset({'default=no', 'marital=married', 'housing=no'})	frozenset({'age=(45.0, 95.0]', 'education=secondary'})	0.2585211563557541	0.14799495697949613	0.0604277720023888	0.23374401095140318	1.5794052427326095	0.022167944589229376	1.1119065367154588
frozenset({'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'marital=married', 'housing=no'})	0.14799495697949613	0.2585211563557541	0.0604277720023888	0.4083096697055747	1.5794052427326093	0.022167944589229376	1.2531535596927632
frozenset({'marital=married', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'housing=no', 'education=secondary'})	0.2398531330870806	0.1979606732874743	0.0604277720023888	0.25193655477683513	1.2726596176553624	0.012946284286360153	1.0721541492690616
frozenset({'default=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'housing=no', 'education=secondary'})	0.31454734467275663	0.11809073013204752	0.0604277720023888	0.19211025947542368	1.6268021991278103	0.023282646408886165	1.0916208309506616
frozenset({'housing=no', 'education=secondary'})	frozenset({'default=no', 'marital=married', 'age=(45.0, 95.0]'})	0.2026940346375882	0.2364911194178408	0.0604277720023888	0.2981230903535574	1.260610085856218	0.012492432851626975	1.0878102272473427
frozenset({'marital=married', 'housing=no'})	frozenset({'default=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2630554511070315	0.14553980226051183	0.0604277720023888	0.22971495837887834	1.5783651950254511	0.0221427336647217	1.1092779316358183
frozenset({'default=no', 'marital=married'})	frozenset({'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.5920240649399482	0.07991418017739046	0.0604277720023888	0.10206979003213033	1.2772425344983793	0.013116654207426671	1.0246740889311794
frozenset({'default=no', 'housing=no'})	frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	0.4357567848532437	0.11052619937625799	0.0604277720023888	0.13867316379879194	1.254663279669238	0.012265230720142031	1.032678610766005
frozenset({'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married', 'housing=no', 'education=secondary'})	0.3195682466656345	0.11565769392404503	0.0604277720023888	0.18909191583610188	1.6349272531776635	0.023467245541691127	1.0905580094046943
frozenset({'marital=married'})	frozenset({'default=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.6019331578598128	0.07845435845258897	0.0604277720023888	0.10038950540163152	1.2795911837364429	0.013203492271156227	1.0243829380390181
frozenset({'y=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'marital=married'})	0.06708544380792285	0.6019331578598128	0.05166884165357988	0.7701945268710847	1.2795349729686416	0.011287888615849853	1.7321904335885043
frozenset({'marital=married', 'y=no', 'housing=no', 'education=secondary'})	frozenset({'age=(45.0, 95.0]'})	0.10161243945057619	0.3195682466656345	0.05166884165357988	0.5084893339138006	1.5911760295941886	0.019196732538941295	1.3843682350832929
frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'y=no', 'housing=no'})	0.11052619937625799	0.3699763331932494	0.05166884165357988	0.4674804882929758	1.2635416007780074	0.010776763686565938	1.1830996854691216
frozenset({'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'housing=no'})	0.13018955563911438	0.2630554511070315	0.05166884165357988	0.39687393815834177	1.5087082837027486	0.01742176936550867	1.2218748210659187
frozenset({'marital=married', 'housing=no', 'education=secondary'})	frozenset({'y=no', 'age=(45.0, 95.0]'})	0.11809073013204752	0.27977704540930304	0.05166884165357988	0.4375351189361303	1.5638706824429904	0.018629766087008268	1.2804763085446988
frozenset({'y=no', 'housing=no', 'education=secondary'})	frozenset({'marital=married', 'age=(45.0, 95.0]'})	0.17144057862024728	0.2398531330870806	0.05166884165357988	0.3013804670365114	1.256520868239369	0.010548281733251605	1.0880698735811707
frozenset({'marital=married', 'y=no', 'housing=no'})	frozenset({'age=(45.0, 95.0]', 'education=secondary'})	0.2244365309327376	0.14799495697949613	0.05166884165357988	0.23021582733812948	1.55556535193307	0.018453366913562023	1.1068102895313088
frozenset({'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'y=no', 'housing=no'})	0.14799495697949613	0.2244365309327376	0.05166884165357988	0.34912569122702136	1.55556535193307	0.018453366913562023	1.1915717959883012
frozenset({'marital=married', 'age=(45.0, 95.0]'})	frozenset({'y=no', 'housing=no', 'education=secondary'})	0.2398531330870806	0.17144057862024728	0.05166884165357988	0.2154186646993729	1.256520868239369	0.010548281733251605	1.0560529343490876
frozenset({'y=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'housing=no', 'education=secondary'})	0.27977704540930304	0.11809073013204752	0.05166884165357988	0.1846786307217962	1.5638706824429907	0.018629766087008268	1.081670741254701
frozenset({'marital=married', 'housing=no'})	frozenset({'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2630554511070315	0.13018955563911438	0.05166884165357988	0.19641806104431175	1.5087082837027486	0.01742176936550867	1.0824166176398464
frozenset({'y=no', 'housing=no'})	frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	0.3699763331932494	0.11052619937625799	0.05166884165357988	0.13965445088778622	1.2635416007780074	0.010776763686565938	1.0338564563291872
frozenset({'age=(45.0, 95.0]'})	frozenset({'marital=married', 'y=no', 'housing=no', 'education=secondary'})	0.3195682466656345	0.10161243945057619	0.05166884165357988	0.16168327796234772	1.5911760295941886	0.019196732538941295	1.071656495609154
frozenset({'marital=married'})	frozenset({'y=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.6019331578598128	0.06708544380792285	0.05166884165357988	0.0858381715293599	1.2795349729686416	0.011287888615849853	1.0205135755370685
frozenset({'loan=no', 'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'housing=no'})	0.08982327309725509	0.44416181902634316	0.05080621972528809	0.5656242304851022	1.273464323712064	0.01091015135551128	1.2796252000759754
frozenset({'loan=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'marital=married'})	0.0654265554842848	0.6019331578598128	0.05080621972528809	0.7765382014874914	1.290073808607738	0.011423806574742283	1.781364174055481
frozenset({'loan=no', 'marital=married', 'housing=no', 'education=secondary'})	frozenset({'age=(45.0, 95.0]'})	0.09736568534206277	0.3195682466656345	0.05080621972528809	0.5218082689686506	1.6328539346858846	0.019691238375127224	1.4229266404645498
frozenset({'loan=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'housing=no'})	0.1196611444117582	0.2630554511070315	0.05080621972528809	0.4245841035120148	1.614047919270302	0.0193287034020694	1.2807163538422612
frozenset({'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'loan=no', 'marital=married'})	0.07991418017739046	0.49886089668443523	0.05080621972528809	0.6357597564350954	1.2744229115982575	0.010940160144193564	1.375847705379282
frozenset({'loan=no', 'housing=no', 'education=secondary'})	frozenset({'marital=married', 'age=(45.0, 95.0]'})	0.16624272853951472	0.2398531330870806	0.05080621972528809	0.30561468866418307	1.2741742612685707	0.01093238043214046	1.0947047042953635
frozenset({'marital=married', 'housing=no', 'education=secondary'})	frozenset({'loan=no', 'age=(45.0, 95.0]'})	0.11809073013204752	0.2675233903253633	0.05080621972528809	0.4302303802210151	1.6081972484640192	0.0192141872343652	1.285566278452625
frozenset({'loan=no', 'marital=married', 'housing=no'})	frozenset({'age=(45.0, 95.0]', 'education=secondary'})	0.22569728605870254	0.14799495697949613	0.05080621972528809	0.2251078008624069	1.521050483453935	0.01740415958464138	1.099514285946784
frozenset({'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'loan=no', 'marital=married', 'housing=no'})	0.14799495697949613	0.22569728605870254	0.05080621972528809	0.34329696607383053	1.521050483453935	0.01740415958464138	1.1790758896179385
frozenset({'loan=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'housing=no', 'education=secondary'})	0.2675233903253633	0.11809073013204752	0.05080621972528809	0.18991318726746587	1.6081972484640192	0.0192141872343652	1.0886601979029276
frozenset({'marital=married', 'age=(45.0, 95.0]'})	frozenset({'loan=no', 'housing=no', 'education=secondary'})	0.2398531330870806	0.16624272853951472	0.05080621972528809	0.2118222058281077	1.2741742612685707	0.01093238043214046	1.0578289284798763
frozenset({'loan=no', 'marital=married'})	frozenset({'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.49886089668443523	0.07991418017739046	0.05080621972528809	0.1018444621796577	1.2744229115982575	0.010940160144193564	1.0244170203030625
frozenset({'marital=married', 'housing=no'})	frozenset({'loan=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2630554511070315	0.1196611444117582	0.05080621972528809	0.19313882115530143	1.614047919270302	0.0193287034020694	1.0910660701866361
frozenset({'age=(45.0, 95.0]'})	frozenset({'loan=no', 'marital=married', 'housing=no', 'education=secondary'})	0.3195682466656345	0.09736568534206277	0.05080621972528809	0.15898394241417496	1.6328539346858846	0.019691238375127224	1.0732664454100795
frozenset({'marital=married'})	frozenset({'loan=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.6019331578598128	0.0654265554842848	0.05080621972528809	0.08440508561769677	1.290073808607738	0.011423806574742283	1.020728086007572
frozenset({'housing=no'})	frozenset({'loan=no', 'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	0.44416181902634316	0.08982327309725509	0.05080621972528809	0.11438673372839997	1.2734643237120638	0.01091015135551128	1.027736102841544
frozenset({'age=(45.0, 95.0]', 'education=secondary', 'housing=no', 'default=no', 'y=no'})	frozenset({'marital=married'})	0.06569197761606689	0.6019331578598128	0.05076198270332441	0.7727272727272726	1.283742659192795	0.011219803170829129	1.7514941054168225
frozenset({'education=secondary', 'marital=married', 'housing=no', 'default=no', 'y=no'})	frozenset({'age=(45.0, 95.0]'})	0.09924575877551924	0.3195682466656345	0.05076198270332441	0.5114776019612213	1.6005269838225895	0.01904618958243122	1.3928363490927456
frozenset({'default=no', 'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'y=no', 'housing=no'})	0.10902214062949282	0.3699763331932494	0.05076198270332441	0.465611685940353	1.2584904605158906	0.010426370876345882	1.1789622831019262
frozenset({'y=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'marital=married'})	0.06708544380792285	0.5920240649399482	0.05076198270332441	0.7566765578635015	1.278117905460912	0.011045785561857445	1.6766815867711888
frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'housing=no'})	0.1278007564530756	0.2630554511070315	0.05076198270332441	0.3971962616822429	1.5099335900879411	0.017143297062740745	1.2225281663805831
frozenset({'default=no', 'marital=married', 'housing=no', 'education=secondary'})	frozenset({'y=no', 'age=(45.0, 95.0]'})	0.11565769392404503	0.27977704540930304	0.05076198270332441	0.4388984509466437	1.5687436054825448	0.018403614818401595	1.2835875356355673
frozenset({'marital=married', 'y=no', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'age=(45.0, 95.0]'})	0.10161243945057619	0.31454734467275663	0.05076198270332441	0.499564649542882	1.588201769951708	0.01880005968842441	1.3697127005538738
frozenset({'default=no', 'y=no', 'housing=no', 'education=secondary'})	frozenset({'marital=married', 'age=(45.0, 95.0]'})	0.16692840237995177	0.2398531330870806	0.05076198270332441	0.30409434212269776	1.2678356051004507	0.010723682391272096	1.0923131006458118
frozenset({'default=no', 'marital=married', 'y=no', 'housing=no'})	frozenset({'age=(45.0, 95.0]', 'education=secondary'})	0.22010130278029683	0.14799495697949613	0.05076198270332441	0.23063008742839916	1.5583645019765886	0.018188099867223327	1.107406241261368
frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'y=no', 'housing=no'})	0.11052619937625799	0.3620800247727323	0.05076198270332441	0.4592755653392035	1.2684366270342533	0.010742653695132963	1.179750598153463
frozenset({'default=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'marital=married', 'y=no', 'housing=no'})	0.14553980226051183	0.2244365309327376	0.05076198270332441	0.3487841945288753	1.5540437783428582	0.018097534371338535	1.1909469373308252
frozenset({'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'marital=married', 'housing=no'})	0.13018955563911438	0.2585211563557541	0.05076198270332441	0.3899082568807339	1.5082257188428183	0.017105228234058772	1.2153563001086136
frozenset({'default=no', 'marital=married', 'age=(45.0, 95.0]'})	frozenset({'y=no', 'housing=no', 'education=secondary'})	0.2364911194178408	0.17144057862024728	0.05076198270332441	0.21464646464646464	1.2520166834126323	0.010217808351779788	1.0550145687021932
frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'housing=no', 'education=secondary'})	0.2749773285262436	0.11809073013204752	0.05076198270332441	0.18460424710424708	1.5632407971212052	0.0182897092079004	1.0815720669821827
frozenset({'marital=married', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	0.11809073013204752	0.2749773285262436	0.05076198270332441	0.4298557782356246	1.5632407971212052	0.0182897092079004	1.2716478459258822
frozenset({'y=no', 'housing=no', 'education=secondary'})	frozenset({'default=no', 'marital=married', 'age=(45.0, 95.0]'})	0.17144057862024728	0.2364911194178408	0.05076198270332441	0.2960908269900658	1.2520166834126323	0.010217808351779788	1.084669599228797
frozenset({'default=no', 'marital=married', 'housing=no'})	frozenset({'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2585211563557541	0.13018955563911438	0.05076198270332441	0.19635523613963038	1.5082257188428183	0.017105228234058772	1.0823319997540755
frozenset({'marital=married', 'y=no', 'housing=no'})	frozenset({'default=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2244365309327376	0.14553980226051183	0.05076198270332441	0.22617522420419828	1.5540437783428582	0.018097534371338535	1.10420372216793
frozenset({'default=no', 'y=no', 'housing=no'})	frozenset({'marital=married', 'age=(45.0, 95.0]', 'education=secondary'})	0.3620800247727323	0.11052619937625799	0.05076198270332441	0.14019547953573608	1.2684366270342533	0.010742653695132963	1.0345070064803308
frozenset({'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'marital=married', 'y=no', 'housing=no'})	0.14799495697949613	0.22010130278029683	0.05076198270332441	0.3429980570916156	1.5583645019765888	0.018188099867223327	1.1870569115325373
frozenset({'marital=married', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'y=no', 'housing=no', 'education=secondary'})	0.2398531330870806	0.16692840237995177	0.05076198270332441	0.2116377720398377	1.267835605100451	0.010723682391272096	1.0567117095089253
frozenset({'default=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'y=no', 'housing=no', 'education=secondary'})	0.31454734467275663	0.10161243945057619	0.05076198270332441	0.16138105618451584	1.588201769951708	0.01880005968842441	1.0712702916798051
frozenset({'y=no', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married', 'housing=no', 'education=secondary'})	0.27977704540930304	0.11565769392404503	0.05076198270332441	0.18143726776820301	1.5687436054825448	0.018403614818401595	1.080359844461537
frozenset({'marital=married', 'housing=no'})	frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.2630554511070315	0.1278007564530756	0.05076198270332441	0.19297065500714705	1.5099335900879411	0.017143297062740745	1.0807528238699282
frozenset({'default=no', 'marital=married'})	frozenset({'y=no', 'age=(45.0, 95.0]', 'housing=no', 'education=secondary'})	0.5920240649399482	0.06708544380792285	0.05076198270332441	0.08574310692669805	1.278117905460912	0.011045785561857445	1.0204074623446995
